COUNTRY,RETAILER,RETAILER_UPC,RETAILER_UPC_DESC,RETAILER_UPC_UOM_FACTOR,RETAILER_ITEM_CODE,RETAILER_NBR,MATERIAL,BASE_UOM,BASE_UOM_UPC,MATERIAL_DIST_CHNL_STATUS,MATERIAL_DIST_CHNL_STATUS_RANK,MATERIAL_BASE_UOM_RANK,PROD_HIER,UOM_EA_EANUPC,UOM_CSE_EAN13_EANUPC,UOM_CSE_ITF14_EANUPC,UOM_CSE_UCC12_EANUPC,UOM_DS_ITF14_EANUPC,UOM_DS_UCC12_EANUPC,UOM_MO_ITF14_EANUPC,UOM_MO_UCC12_EANUPC,UOM_PAL_ITF14_EANUPC,UOM_ZIN_UCC12_EANUPC
CA01,Walmart,5700003517,DI MAR JERK,,30941200,CA2000358,000000570000348000,CSE,10057000034808,03,1,1,0180879025842AAACU,57000035174,,10057000034808,,,,,,20057000034805,
CA01,H.Y. LOUIE,6810000201,COUNTRY TIME LIQ LEMONADE                    ,,110156,CA2000261,000000681000020100,CSE,10068100002017,03,1,1,1690759021591AAACR,68100002010,,10068100002017,,,,,,20068100002014,
CA01,Pasquier,6618804927,,,,CA2000318,000000661880492700,CSE,10066188049276,03,1,1,061019000435DI9OS9,66188049279,,10066188049276,,,,,,20066188049273,
CA01,Sobeys,5700003663,SMARTONE STN FRD 3CHSPZ 170 G - 5700003663,170G,220248,CA2000341,000000570000366300,CSE,10057000036635,03,1,1,1680898027206AI33E,57000036638,,10057000036635,,,,,,20057000036632,
CA01,SAVE ON FOODS,6020098773,TASSIMO NABOBBREAKFAST BLEND 14PK PK,,2576042,CA2000316,000000602009877300,CSE,10060200987737,03,1,1,064056501207DX9PQ2,60200987730,,10060200987737,,,,,,20060200987734,
CA01,Metro,6618800309,,,28090002,CA2000301,000000661880030900,CSE,10066188003094,05,3,1,064055101664VG15XM,66188003097,,10066188003094,,,,,,20066188003091,
CA01,FEDERATED CO-OP,6810000080,MIO FRUIT PNCH,48ML,,CA2000248,000000681000008000,CSE,10068100000808,03,1,1,169057201682PM65ME,68100000801,,10068100000808,,,,,,20068100000805,
CA01,FEDERATED CO-OP,6618871149,KOOL-AID BANANA SPLASH SLUSHIE,392GR,,CA2000248,000000661887117600,CSE,10066188711760,03,1,1,1320424013031WT0L7,66188711497,,10066188711760,,,,,,20066188711767,
CA01,LCL,6810007829,,,,CA2000287,000000681008913400,CSE,68100891348,03,1,1,018002600273CH04MB,68100078299,,,68100891348,,,,,20068100891342,
CA01,LCL,5700003912,,,,CA2000287,000000570000391200,CSE,10057000039124,05,3,1,1991217027921KD28E,57000039127,,10057000039124,,,,,,20057000039121,
CA01,SAVE ON FOODS,6810002457,KRAFT CB XTRA OLDWHITE CHEDDAR CHSE 600G G,,2575327,CA2000316,000000681000245700,CSE,10068100024576,03,1,1,012081902390TJ32TX,68100024579,,10068100024576,,,,,,20068100024573,
CA01,Metro,6810089451,,,28699003,CA2000301,000000681008945100,CSE,10068100894513,03,1,1,026054701604VI31XR,68100894516,,10068100894513,,,,,,20068100894510,
CA01,Quality Foods,5700002987,HEINZ BBY POUCH JNR APL/PR/CN,6/128ML,,CA2000281,000000570000350100,CSE,10057000035010,03,1,1,1941183027286JKOGW,57000029876,,10057000035010,,,,,,20057000035017,
CA01,H.Y. LOUIE,6020000190,NABOB GRND FULL CITY DARK COFF               ,,92457,CA2000261,000000602000019000,CSE,10060200001907,03,1,1,023048801441DM6OY5,60200001900,,10060200001907,,,,,,20060200001904,
CA01,LCL,6810002939,,,,CA2000287,000000681000293900,CSE,10068100029397,03,1,1,003004700282GP1RB7,68100029390,,10068100029397,,,,,,20068100029394,
CA01,Sobeys,5700002184,HEINZ VEG & TURKEY JR ORGNC 213 ML - 5700002184,213ML,148412,CA2000341,000000570000218400,CSE,10057000021846,05,3,1,1941182027271JKL3E,57000021849,,10057000021846,,,,,,20057000021843,
CA01,Pasquier,6810000130,,,,CA2000318,000000681000013000,CSE,10068100001300,03,1,1,169057201682PM65ME,68100001303,,10068100001300,,,,,,20068100001307,
CA01,Sobeys,6810001877,KRAFT MZACHD AMOOZA TWIST 252 G - 6810001877,252G,234032,CA2000341,000000681009024700,CSE,68100902471,03,1,1,003000500223GP7RC2,68100018776,,,68100902471,,,,,20068100902475,
CA01,Metro,5700001996,,,29399601,CA2000301,000000570000199600,CSE,10057000019966,03,1,1,1981309027511UU0EP,57000019969,,10057000019966,,,,,,20057000019963,
CA01,Walmart,6810005833,KD DLX 4 CHS,,9290013,CA2000358,000000681000583300,CSE,10068100058335,03,1,1,026005000095DK2OV2,68100058338,,10068100058335,,,,,,20068100058332,
CA01,Metro,6618800800,,,11627202,CA2000301,000000661880080000,CSE,10066188008006,03,1,1,017002200049AL4MJ1,66188008009,,10066188008006,,,,,,20066188008003,
CA01,Metro,6618800394,,,30831302,CA2000301,000000661880039400,CSE,10066188003940,03,1,1,1890792022362KGA2M,66188003943,,10066188003940,,,,,,20066188003947,
CA01,Quality Foods,6618800477,MAXWELL HOUSE COFFE POD ORIG30,4/292GR,,CA2000281,000000661880047700,CSE,10066188004770,03,1,1,1890792022362KGA2M,66188004773,,10066188004770,,,,,,20066188004777,
CA01,Walmart,6020098792,TAS NABOB LA,,9288872,CA2000358,000000602009879200,CSE,10060200987928,05,3,1,064056501248DY9PR3,60200987921,,10060200987928,,,,,,20060200987925,
